DeviceProfileID,DeviceProfileName,DeviceType,TrustLevel,AllowedUserScope,AllowedRoleScope,AccessLevel,AdminAccessAllowed,SharedMailboxAccess,TeamsAccess,ConditionalAccessAction,MFARequired,ManagedDeviceRequired,ComplianceRequirements,Notes
DEV-001,Corporate Managed Standard,Corporate Managed,TRUSTED,Standard Users,ROLE-OPS;ROLE-SUP;ROLE-SAL;ROLE-FIN,FULL,No,Allowed,Allowed,Allow,Yes,Yes,"Supported OS; Encryption; PIN; Screen Lock; Updates Active","Default company device profile"
DEV-002,Corporate Managed Privileged,Corporate Managed,TRUSTED,Admin Users,ROLE-IT-ADMIN;ROLE-GLOBAL-ADMIN;ROLE-SEC-ADMIN,PRIVILEGED,Yes,Allowed,Allowed,Allow,Yes,Yes,"Supported OS; Encryption; PIN; Screen Lock; Updates Active; Defender Enabled; Device Managed","Required for admin operations"
DEV-003,Personal Managed BYOD,Personal Managed,LIMITED,Standard Users,ROLE-OPS;ROLE-SUP;ROLE-SAL,LIMITED,No,Limited,Allowed,Restrict,Yes,Preferred,"App Protection; MFA; Limited Session; No Admin Access","Allowed only for low/medium sensitivity work"
DEV-004,Shared Warehouse Workstation,Shared Device,LIMITED,Warehouse Users,ROLE-WHS-LEAD;ROLE-WHS-OPS,OPERATIONAL_ONLY,No,Limited,Limited,Restrict,Yes,No,"Screen Lock; Local Access Control; No Admin Access","Used for warehouse operational access only"
DEV-005,Shared Operational Terminal,Shared Device,LIMITED,Operations Users,ROLE-OPS-AGENT;ROLE-WHS-LEAD,OPERATIONAL_ONLY,No,Limited,Limited,Restrict,Yes,No,"Screen Lock; Limited Apps; No Sensitive Access","Used for controlled operational tasks"
DEV-006,Unmanaged Device,Unmanaged,UNTRUSTED,Any,Any,RESTRICTED,No,Blocked,Restricted,Block,Yes,No,"None","Blocked for admin and sensitive access"
DEV-007,External Guest Device,Unmanaged,UNTRUSTED,Guest Users,ROLE-GUEST,RESTRICTED,No,Blocked,Limited,Restrict,Yes,No,"MFA; Guest Restrictions; Limited Collaboration","Guest access only, no sensitive resources"
DEV-008,Finance Trusted Device,Corporate Managed,TRUSTED,Finance Users,ROLE-FIN-MGR;ROLE-FIN-ANALYST,FULL,No,Allowed,Allowed,Allow,Yes,Yes,"Encryption; Defender; Managed Device; Compliance Reporting","Required for finance access"
DEV-009,Management Trusted Device,Corporate Managed,TRUSTED,Management Users,ROLE-CEO;ROLE-COO;ROLE-MGMT,FULL,No,Allowed,Allowed,Allow,Yes,Yes,"Encryption; Defender; Managed Device; Compliance Reporting","Required for executive access"
DEV-010,IT Admin Device,Corporate Managed,TRUSTED,IT Admin Users,ROLE-IT-ADMIN;ROLE-SEC-ADMIN,PRIVILEGED,Yes,Allowed,Allowed,Allow,Yes,Yes,"Encryption; Defender; Managed Device; Compliance Reporting; Restricted Session","Required for service administration"